USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
MO|29001|0500000US29001|00765805|Adair County|1469362061|5468507|567.324|2.111|40.190666|-92.603592
MO|29003|0500000US29003|00758456|Andrew County|1120518013|9669777|432.634|3.734|39.988863|-94.803552
MO|29005|0500000US29005|00758457|Atchison County|1417462623|7359186|547.285|2.841|40.431846|-95.437555
MO|29007|0500000US29007|00758458|Audrain County|1792918425|11843439|692.25|4.573|39.214481|-91.843418
MO|29009|0500000US29009|00758459|Barry County|2015328986|32910373|778.123|12.707|36.699376|-93.834334
MO|29011|0500000US29011|00758460|Barton County|1533351241|12151997|592.03|4.692|37.50091|-94.344059
MO|29013|0500000US29013|00758461|Bates County|2167033432|38030730|836.696|14.684|38.257217|-94.339246
MO|29015|0500000US29015|00758462|Benton County|1823437748|125605711|704.033|48.497|38.301036|-93.287942
MO|29017|0500000US29017|00758463|Bollinger County|1600364576|8530122|617.904|3.293|37.318427|-90.024645
MO|29019|0500000US29019|00758464|Boone County|1775580658|14211203|685.556|5.487|38.989861|-92.310202
MO|29021|0500000US29021|00758465|Buchanan County|1057361277|17942873|408.249|6.928|39.660369|-94.808173
MO|29023|0500000US29023|00758466|Butler County|1799405241|11196956|694.754|4.323|36.71518|-90.40313
MO|29025|0500000US29025|00758467|Caldwell County|1104353490|8399237|426.393|3.243|39.658998|-93.979179
MO|29027|0500000US29027|00758468|Callaway County|2161513201|33194432|834.565|12.816|38.835547|-91.923446
MO|29029|0500000US29029|00758469|Camden County|1698868744|136411732|655.937|52.669|38.026504|-92.765328
MO|29031|0500000US29031|00758470|Cape Girardeau County|1498351219|20284964|578.517|7.832|37.384141|-89.685658
MO|29033|0500000US29033|00758471|Carroll County|1799061888|17533392|694.622|6.77|39.427375|-93.500226
MO|29035|0500000US29035|00758472|Carter County|1314052439|4304986|507.359|1.662|36.944858|-90.945705
MO|29037|0500000US29037|00758473|Cass County|1804231754|14954758|696.618|5.774|38.646474|-94.354547
MO|29039|0500000US29039|00758474|Cedar County|1228870899|62637821|474.47|24.185|37.733655|-93.850014
MO|29041|0500000US29041|00758475|Chariton County|1945541998|40353307|751.178|15.58|39.517968|-92.96162
MO|29043|0500000US29043|00758476|Christian County|1457134679|3048446|562.603|1.177|36.969739|-93.187614
MO|29045|0500000US29045|00758477|Clark County|1306924732|18695974|504.606|7.219|40.407275|-91.729472
MO|29047|0500000US29047|00758478|Clay County|1029930131|28484518|397.658|10.998|39.315551|-94.421502
MO|29049|0500000US29049|00758479|Clinton County|1085049759|11764909|418.94|4.542|39.608723|-94.395803
MO|29051|0500000US29051|00758480|Cole County|1014066038|19144926|391.533|7.392|38.503233|-92.280027
MO|29053|0500000US29053|00758481|Cooper County|1462684615|11486534|564.746|4.435|38.847093|-92.810069
MO|29055|0500000US29055|00758482|Crawford County|1923005860|3306286|742.477|1.277|37.966559|-91.313936
MO|29057|0500000US29057|00758483|Dade County|1269120979|42072597|490.01|16.244|37.43235|-93.854878
MO|29059|0500000US29059|00758484|Dallas County|1401057556|4909180|540.951|1.895|37.683582|-93.033815
MO|29061|0500000US29061|00758485|Daviess County|1458894581|14925665|563.282|5.763|39.962839|-93.970053
MO|29063|0500000US29063|00758486|DeKalb County|1091312447|11560688|421.358|4.464|39.894665|-94.40719
MO|29065|0500000US29065|00758487|Dent County|1949641183|4518781|752.761|1.745|37.603072|-91.489717
MO|29067|0500000US29067|00758488|Douglas County|2107274101|2520175|813.623|0.973|36.946517|-92.515892
MO|29069|0500000US29069|00758489|Dunklin County|1403538813|13708531|541.909|5.293|36.153025|-90.062254
MO|29071|0500000US29071|00758490|Franklin County|2389239902|20928381|922.491|8.08|38.413003|-91.072832
MO|29073|0500000US29073|00758491|Gasconade County|1344216316|18008168|519.005|6.953|38.441182|-91.505782
MO|29075|0500000US29075|00758492|Gentry County|1272776755|762384|491.422|0.294|40.208127|-94.405321
MO|29077|0500000US29077|00758493|Greene County|1749093465|6607713|675.329|2.551|37.258196|-93.340641
MO|29079|0500000US29079|00758494|Grundy County|1127403256|7116081|435.293|2.748|40.11254|-93.565054
MO|29081|0500000US29081|00758495|Harrison County|1871309887|10070644|722.517|3.888|40.34562|-93.992582
MO|29083|0500000US29083|00758496|Henry County|1805056171|91656114|696.936|35.389|38.386491|-93.792628
MO|29085|0500000US29085|00758497|Hickory County|1032908443|33454640|398.808|12.917|37.93691|-93.322988
MO|29087|0500000US29087|00758498|Holt County|1198375860|19832798|462.696|7.657|40.095724|-95.219072
MO|29089|0500000US29089|00758499|Howard County|1201239497|19854109|463.801|7.666|39.143365|-92.695926
MO|29091|0500000US29091|00758500|Howell County|2401376469|2920041|927.177|1.127|36.774369|-91.887368
MO|29093|0500000US29093|00758501|Iron County|1425184838|4655363|550.267|1.797|37.625971|-90.699587
MO|29095|0500000US29095|00758502|Jackson County|1565698750|30621016|604.52|11.823|39.005364|-94.343211
MO|29097|0500000US29097|00758503|Jasper County|1653723334|7163884|638.506|2.766|37.205197|-94.337259
MO|29099|0500000US29099|00758504|Jefferson County|1699140815|20247689|656.042|7.818|38.257629|-90.54368
MO|29101|0500000US29101|00758505|Johnson County|2147779812|10176753|829.262|3.929|38.74153|-93.811866
MO|29103|0500000US29103|00758506|Knox County|1305380272|7303439|504.01|2.82|40.136856|-92.146835
MO|29105|0500000US29105|00758507|Laclede County|1980522177|8720826|764.684|3.367|37.659698|-92.594843
MO|29107|0500000US29107|00758508|Lafayette County|1627247039|27063921|628.284|10.449|39.068713|-93.802641
MO|29109|0500000US29109|00758509|Lawrence County|1584432024|4208587|611.753|1.625|37.106611|-93.830542
MO|29111|0500000US29111|00758510|Lewis County|1307990180|14964046|505.018|5.778|40.084559|-91.728803
MO|29113|0500000US29113|00758511|Lincoln County|1622797172|35994186|626.566|13.897|39.062255|-90.962916
MO|29115|0500000US29115|00758512|Linn County|1594366554|14989603|615.588|5.788|39.86444|-93.108019
MO|29117|0500000US29117|00758513|Livingston County|1378657547|16187906|532.303|6.25|39.778587|-93.548201
MO|29119|0500000US29119|00758518|McDonald County|1397155458|520251|539.445|0.201|36.627955|-94.343716
MO|29121|0500000US29121|00758514|Macon County|2075118613|28912354|801.208|11.163|39.829795|-92.56434
MO|29123|0500000US29123|00758515|Madison County|1280453084|8323284|494.386|3.214|37.474481|-90.343413
MO|29125|0500000US29125|00758516|Maries County|1364873602|7632374|526.981|2.947|38.162615|-91.923601
MO|29127|0500000US29127|00758517|Marion County|1131646182|19090885|436.931|7.371|39.807538|-91.635379
MO|29129|0500000US29129|00758519|Mercer County|1175427717|3302140|453.835|1.275|40.421413|-93.567631
MO|29131|0500000US29131|00758520|Miller County|1534779504|19192837|592.582|7.41|38.21668|-92.429876
MO|29133|0500000US29133|00758521|Mississippi County|1066029405|44515175|411.596|17.187|36.826264|-89.295929
MO|29135|0500000US29135|00758522|Moniteau County|1074931225|9940393|415.033|3.838|38.633037|-92.583642
MO|29137|0500000US29137|00758523|Monroe County|1677380365|58339267|647.64|22.525|39.49827|-92.006458
MO|29139|0500000US29139|00758524|Montgomery County|1385765130|14100641|535.047|5.444|38.935184|-91.465427
MO|29141|0500000US29141|00758525|Morgan County|1547867041|42414584|597.635|16.376|38.420806|-92.874835
MO|29143|0500000US29143|00758526|New Madrid County|1747940900|56236293|674.884|21.713|36.594261|-89.655948
MO|29145|0500000US29145|00758527|Newton County|1618103704|4717818|624.753|1.822|36.908371|-94.335034
MO|29147|0500000US29147|00758528|Nodaway County|2271326607|2361588|876.964|0.912|40.361136|-94.883146
MO|29149|0500000US29149|00758529|Oregon County|2045687593|4528441|789.844|1.748|36.68531|-91.401827
MO|29151|0500000US29151|00758530|Osage County|1571034473|17734486|606.58|6.847|38.464252|-91.859504
MO|29153|0500000US29153|00758531|Ozark County|1929557609|26607427|745.006|10.273|36.64959|-92.458549
MO|29155|0500000US29155|00758532|Pemiscot County|1275841039|53915406|492.605|20.817|36.209916|-89.785942
MO|29157|0500000US29157|00758533|Perry County|1228574130|25394864|474.355|9.805|37.71113|-89.802125
MO|29159|0500000US29159|00758534|Pettis County|1766986595|10468070|682.237|4.042|38.727388|-93.28519
MO|29161|0500000US29161|00758535|Phelps County|1739921110|6564987|671.787|2.535|37.866326|-91.79035
MO|29163|0500000US29163|00758536|Pike County|1736428529|36976720|670.439|14.277|39.339959|-91.171607
MO|29165|0500000US29165|00758537|Platte County|1087335650|16896863|419.823|6.524|39.37869|-94.761476
MO|29167|0500000US29167|00758538|Polk County|1646006422|17837670|635.527|6.887|37.616761|-93.400817
MO|29169|0500000US29169|00758539|Pulaski County|1417014929|11312362|547.113|4.368|37.824835|-92.207022
MO|29171|0500000US29171|00758540|Putnam County|1339849643|5937543|517.319|2.292|40.478606|-93.014531
MO|29173|0500000US29173|00758541|Ralls County|1216759454|36364367|469.793|14.04|39.553455|-91.524787
MO|29175|0500000US29175|00758542|Randolph County|1250220630|13254192|482.713|5.117|39.439249|-92.492959
MO|29177|0500000US29177|00758543|Ray County|1473649199|13418136|568.979|5.181|39.308401|-93.995746
MO|29179|0500000US29179|00758544|Reynolds County|2093946393|15373678|808.477|5.936|37.366464|-90.972282
MO|29181|0500000US29181|00758545|Ripley County|1630438192|5455724|629.516|2.106|36.65017|-90.874834
MO|29183|0500000US29183|00758546|St. Charles County|1451204476|83022135|560.313|32.055|38.781102|-90.674915
MO|29185|0500000US29185|00758547|St. Clair County|1748193266|70137863|674.981|27.08|38.04223|-93.77656
MO|29186|0500000US29186|00765806|Ste. Genevieve County|1292827137|19712984|499.163|7.611|37.885845|-90.161531
MO|29187|0500000US29187|00758548|St. Francois County|1170380020|7218075|451.886|2.787|37.810707|-90.473868
MO|29189|0500000US29189|00758549|St. Louis County|1317074810|40009079|508.525|15.448|38.640438|-90.445497
MO|29195|0500000US29195|00758550|Saline County|1956761958|29542462|755.51|11.406|39.13584|-93.204164
MO|29197|0500000US29197|00758551|Schuyler County|795916407|2216011|307.305|0.856|40.469361|-92.519016
MO|29199|0500000US29199|00758552|Scotland County|1130548360|7217862|436.507|2.787|40.447686|-92.142824
MO|29201|0500000US29201|00758553|Scott County|1087811534|15172488|420.006|5.858|37.047793|-89.568098
MO|29203|0500000US29203|00758554|Shannon County|2599881423|464012|1003.82|0.179|37.152498|-91.391328
MO|29205|0500000US29205|00758555|Shelby County|1297230219|3764606|500.863|1.454|39.797531|-92.088719
MO|29207|0500000US29207|00758556|Stoddard County|2131929136|15025823|823.142|5.802|36.851557|-89.947481
MO|29209|0500000US29209|00758557|Stone County|1201268813|121210895|463.813|46.8|36.745822|-93.457842
MO|29211|0500000US29211|00758558|Sullivan County|1678265916|9121738|647.982|3.522|40.209588|-93.109784
MO|29213|0500000US29213|00758559|Taney County|1637553942|50101661|632.263|19.344|36.649827|-93.042819
MO|29215|0500000US29215|00758560|Texas County|3049106811|5071079|1177.267|1.958|37.314257|-91.964478
MO|29217|0500000US29217|00758561|Vernon County|2140343854|27020868|826.391|10.433|37.850232|-94.341701
MO|29219|0500000US29219|00758562|Warren County|1110059783|23627926|428.596|9.123|38.761902|-91.159306
MO|29221|0500000US29221|00758563|Washington County|1968043954|6791224|759.866|2.622|37.942611|-90.897018
MO|29223|0500000US29223|00758564|Wayne County|1966285866|38530851|759.187|14.877|37.111074|-90.453931
MO|29225|0500000US29225|00758565|Webster County|1534732000|3108872|592.563|1.2|37.280804|-92.87608
MO|29227|0500000US29227|00758566|Worth County|690564983|493903|266.629|0.191|40.480499|-94.419198
MO|29229|0500000US29229|00758567|Wright County|1765788552|3524879|681.775|1.361|37.267633|-92.479989
MO|29510|0500000US29510|00767557|St. Louis city|159847393|11534970|61.717|4.454|38.635699|-90.244582
