USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
MO|2900244|1600000US2900244|02393885|Adrian city|25|A|4336078|213687|1.674|0.083|38.39633|-94.342954
MO|2900262|1600000US2900262|02393886|Advance city|25|A|2893461|1726|1.117|0.001|37.103749|-89.911722
MO|2900280|1600000US2900280|02393314|Affton CDP|57|S|11837422|0|4.57|0.|38.549912|-90.326423
MO|2900298|1600000US2900298|02397917|Agency village|47|A|9543562|130173|3.685|0.05|39.655456|-94.748333
MO|2900424|1600000US2900424|02397919|Airport Drive village|47|A|5188551|0|2.003|0.|37.140546|-94.516193
MO|2900496|1600000US2900496|02393897|Alba city|25|A|851218|0|0.329|0.|37.237155|-94.417611
MO|2900514|1600000US2900514|02393899|Albany city|25|A|6325983|0|2.442|0.|40.247893|-94.333455
MO|2900568|1600000US2900568|02397926|Aldrich village|47|A|371464|0|0.143|0.|37.548678|-93.551115
MO|2900604|1600000US2900604|02393919|Alexandria city|25|A|975585|35073|0.377|0.014|40.35989|-91.459391
MO|2900712|1600000US2900712|02397936|Allendale village|47|A|1470351|0|0.568|0.|40.48534|-94.288679
MO|2900748|1600000US2900748|02397938|Allenville village|47|A|400498|0|0.155|0.|37.221831|-89.755466
MO|2900802|1600000US2900802|02393925|Alma city|25|A|712532|0|0.275|0.|39.096409|-93.5478
MO|2900910|1600000US2900910|02397947|Altamont village|47|A|663342|8183|0.256|0.003|39.888033|-94.087031
MO|2900928|1600000US2900928|02393934|Altenburg city|25|A|2718983|0|1.05|0.|37.630441|-89.585897
MO|2900964|1600000US2900964|02393937|Alton city|25|A|4063076|39787|1.569|0.015|36.690843|-91.391716
MO|2901018|1600000US2901018|02397954|Amazonia village|47|A|952653|391|0.368|0.|39.889405|-94.892276
MO|2901054|1600000US2901054|02397429|Amity town|43|A|447665|2980|0.173|0.001|39.868335|-94.4347
MO|2901072|1600000US2901072|02393948|Amoret city|25|A|553725|577|0.214|0.|38.254796|-94.58729
MO|2901090|1600000US2901090|02393949|Amsterdam city|25|A|1479252|10632|0.571|0.004|38.349521|-94.589172
MO|2901198|1600000US2901198|02393953|Anderson city|25|A|5882822|0|2.271|0.|36.653156|-94.444084
MO|2901252|1600000US2901252|02397964|Annada village|47|A|157691|0|0.061|0.|39.262293|-90.828726
MO|2901270|1600000US2901270|02393963|Annapolis city|25|A|968123|30633|0.374|0.012|37.361062|-90.695774
MO|2901288|1600000US2901288|02397433|Anniston town|43|A|1013935|0|0.391|0.|36.824339|-89.326655
MO|2901522|1600000US2901522|02393969|Appleton City city|25|A|2972391|2233|1.148|0.001|38.191141|-94.031668
MO|2901576|1600000US2901576|02397434|Arbela town|43|A|231899|0|0.09|0.|40.463135|-92.015571
MO|2901630|1600000US2901630|02393971|Arbyrd city|25|A|2601491|0|1.004|0.|36.053454|-90.239916
MO|2901648|1600000US2901648|02393973|Arcadia city|25|A|2140946|33899|0.827|0.013|37.585879|-90.629496
MO|2901702|1600000US2901702|02393976|Archie city|25|A|3887170|91848|1.501|0.035|38.481116|-94.350614
MO|2901720|1600000US2901720|02397980|Arcola village|47|A|663953|0|0.256|0.|37.549286|-93.875295
MO|2901828|1600000US2901828|02397437|Argyle town|43|A|1042699|0|0.403|0.|38.295386|-92.025533
MO|2901864|1600000US2901864|02397438|Arkoe town|43|A|329386|0|0.127|0.|40.259376|-94.827943
MO|2901954|1600000US2901954|02393990|Armstrong city|25|A|2124781|0|0.82|0.|39.26918|-92.704173
MO|2901972|1600000US2901972|02393991|Arnold city|25|A|29768469|10583|11.494|0.004|38.426009|-90.369312
MO|2902034|1600000US2902034|02397991|Arrow Point village|47|A|495895|0|0.191|0.|36.544076|-93.622374
MO|2902044|1600000US2902044|02397439|Arrow Rock town|43|A|345226|0|0.133|0.|39.07|-92.947247
MO|2902098|1600000US2902098|02393995|Asbury city|25|A|945116|0|0.365|0.|37.272941|-94.605154
MO|2902152|1600000US2902152|02397440|Ashburn town|43|I|342782|0|0.132|0.|39.545774|-91.171962
MO|2902188|1600000US2902188|02393996|Ash Grove city|25|A|3455134|0|1.334|0.|37.318528|-93.579965
MO|2902242|1600000US2902242|02393998|Ashland city|25|A|16160339|25003|6.24|0.01|38.812464|-92.239531
MO|2902260|1600000US2902260|02587051|Ashley CDP|57|S|3414668|17820|1.318|0.007|39.253271|-91.223522
MO|2902422|1600000US2902422|02394015|Atlanta city|25|A|886828|2384|0.342|0.001|39.898224|-92.480278
MO|2902512|1600000US2902512|02397444|Augusta town|43|A|2666622|0|1.03|0.|38.570823|-90.879315
MO|2902530|1600000US2902530|02398010|Aullville village|47|A|689251|0|0.266|0.|39.017495|-93.677882
MO|2902548|1600000US2902548|02394034|Aurora city|25|A|16570912|53171|6.398|0.021|36.967436|-93.718596
MO|2902584|1600000US2902584|02804674|Aurora Springs CDP|57|S|1107059|0|0.427|0.|38.324351|-92.582347
MO|2902638|1600000US2902638|02394038|Auxvasse city|25|A|1955481|2909|0.755|0.001|39.017487|-91.895611
MO|2902674|1600000US2902674|02394040|Ava city|25|A|8604342|11301|3.322|0.004|36.956222|-92.665965
MO|2902692|1600000US2902692|02804675|Avalon CDP|57|S|1945344|8972|0.751|0.003|39.659671|-93.439342
MO|2902746|1600000US2902746|02396581|Avilla town|43|A|506308|0|0.195|0.|37.19381|-94.129842
MO|2902800|1600000US2902800|02394044|Avondale city|25|A|350150|0|0.135|0.|39.154528|-94.545168
MO|2902962|1600000US2902962|02396583|Bagnell town|43|A|1095292|246155|0.423|0.095|38.229717|-92.605725
MO|2903034|1600000US2903034|02398019|Baker village|47|I|531535|0|0.205|0.|36.773542|-89.761394
MO|2903052|1600000US2903052|02398020|Bakersfield village|47|A|3547437|3224|1.37|0.001|36.526673|-92.14805
MO|2903124|1600000US2903124|02398023|Baldwin Park village|47|A|196846|111554|0.076|0.043|38.792703|-94.248927
MO|2903160|1600000US2903160|02394057|Ballwin city|25|A|23528659|0|9.084|0.|38.594726|-90.54996
MO|2903322|1600000US2903322|02394060|Baring city|25|A|329506|2343|0.127|0.001|40.244831|-92.205882
MO|2903340|1600000US2903340|02394061|Barnard city|25|A|393306|0|0.152|0.|40.175398|-94.823154
MO|2903376|1600000US2903376|02394066|Barnett city|25|A|706515|0|0.273|0.|38.377408|-92.674581
MO|2903394|1600000US2903394|02393328|Barnhart CDP|57|S|12838800|388278|4.957|0.15|38.336604|-90.403095
MO|2903556|1600000US2903556|02394079|Bates City city|25|A|2804789|119399|1.083|0.046|39.003936|-94.063391
MO|2903592|1600000US2903592|02394084|Battlefield city|25|A|6703198|0|2.588|0.|37.119324|-93.368334
MO|2904114|1600000US2904114|02394110|Bella Villa city|25|A|332101|0|0.128|0.|38.543621|-90.285432
MO|2904132|1600000US2904132|02394109|Bell City city|25|A|1425358|9788|0.55|0.004|37.024008|-89.819341
MO|2904150|1600000US2904150|02394112|Belle city|25|A|3457021|3401|1.335|0.001|38.285138|-91.721466
MO|2904222|1600000US2904222|02394117|Bellefontaine Neighbors city|25|A|11396798|0|4.4|0.|38.752849|-90.227992
MO|2904248|1600000US2904248|02398078|Bellerive Acres city|25|A|880175|0|0.34|0.|38.712226|-90.312133
MO|2904330|1600000US2904330|02394121|Bellflower city|25|A|1448551|666|0.559|0.|39.003917|-91.351664
MO|2904348|1600000US2904348|02398088|Bel-Nor village|47|A|1630017|4860|0.629|0.002|38.698079|-90.31779
MO|2904366|1600000US2904366|02398090|Bel-Ridge village|47|A|2002057|0|0.773|0.|38.712818|-90.328524
MO|2904384|1600000US2904384|02394125|Belton city|25|A|37329098|179639|14.413|0.069|38.81873|-94.529639
MO|2904525|1600000US2904525|02587052|Bennett Springs CDP|57|S|10801451|173314|4.17|0.067|37.733714|-92.856269
MO|2904798|1600000US2904798|02394142|Benton city|25|A|1652589|629|0.638|0.|37.099303|-89.560462
MO|2904834|1600000US2904834|02398097|Benton City village|47|A|268840|0|0.104|0.|39.134548|-91.764865
MO|2904864|1600000US2904864|02806383|Bent Tree Harbor CDP|57|S|5376882|481565|2.076|0.186|38.246631|-93.489899
MO|2904888|1600000US2904888|02394144|Berger city|25|A|835079|0|0.322|0.|38.667539|-91.341117
MO|2904906|1600000US2904906|02394145|Berkeley city|25|A|12848779|18089|4.961|0.007|38.746287|-90.336195
MO|2904960|1600000US2904960|02394150|Bernie city|25|A|3387325|0|1.308|0.|36.671719|-89.97069
MO|2904996|1600000US2904996|02394153|Bertrand city|25|A|2133588|3149|0.824|0.001|36.907726|-89.452649
MO|2905068|1600000US2905068|02394155|Bethany city|25|A|11502538|95557|4.441|0.037|40.268164|-94.029822
MO|2905104|1600000US2905104|02398111|Bethel village|47|A|357316|0|0.138|0.|39.877772|-92.022665
MO|2905248|1600000US2905248|02394159|Beverly Hills city|25|A|232591|0|0.09|0.|38.697948|-90.290116
MO|2905266|1600000US2905266|02394160|Bevier city|25|A|2688525|1128|1.038|0.|39.751433|-92.56388
MO|2905320|1600000US2905320|02587053|Biehle CDP|57|S|573744|0|0.222|0.|37.606549|-89.837694
MO|2905464|1600000US2905464|02398120|Bigelow village|47|A|248169|0|0.096|0.|40.109783|-95.289403
MO|2905495|1600000US2905495|02398117|Big Lake village|47|A|4293294|2508935|1.658|0.969|40.072698|-95.350447
MO|2905608|1600000US2905608|02587054|Big Spring CDP|57|S|8697537|64781|3.358|0.025|38.794949|-91.482933
MO|2905626|1600000US2905626|02394168|Billings city|25|A|2531192|3481|0.977|0.001|37.064054|-93.555594
MO|2905734|1600000US2905734|02394170|Birch Tree city|25|A|3575535|0|1.381|0.|36.996681|-91.49167
MO|2905824|1600000US2905824|02398126|Birmingham village|47|A|1455399|0|0.562|0.|39.167575|-94.45008
MO|2905878|1600000US2905878|02394176|Bismarck city|25|A|2578858|0|0.996|0.|37.767325|-90.622518
MO|2905950|1600000US2905950|02394180|Blackburn city|25|A|800036|31065|0.309|0.012|39.104769|-93.486049
MO|2906004|1600000US2906004|02394179|Black Jack city|25|A|6698365|52816|2.586|0.02|38.798982|-90.263444
MO|2906148|1600000US2906148|02394182|Blackwater city|25|A|848380|0|0.328|0.|38.979195|-92.991967
MO|2906238|1600000US2906238|02394187|Blairstown city|25|A|644431|0|0.249|0.|38.557925|-93.957796
MO|2906247|1600000US2906247|02587055|Blanchard CDP|57|S|1371518|0|0.53|0.|40.574885|-95.210979
MO|2906256|1600000US2906256|02394190|Bland city|25|A|1670941|0|0.645|0.|38.300447|-91.633062
MO|2906346|1600000US2906346|02398134|Blodgett city|25|A|481441|2029|0.186|0.001|37.003435|-89.527022
MO|2906382|1600000US2906382|02394194|Bloomfield city|25|A|3229854|33414|1.247|0.013|36.887695|-89.931538
MO|2906454|1600000US2906454|02394199|Bloomsdale city|25|A|4215155|22897|1.627|0.009|38.014442|-90.220352
MO|2906526|1600000US2906526|02396595|Blue Eye town|43|A|3045654|4012|1.176|0.002|36.519317|-93.377138
MO|2906652|1600000US2906652|02394206|Blue Springs city|25|A|57610990|199489|22.244|0.077|39.012001|-94.267612
MO|2906670|1600000US2906670|02806403|Blue Summit CDP|57|S|1262241|0|0.487|0.|39.086909|-94.480742
MO|2906742|1600000US2906742|02398146|Blythedale village|47|A|794824|3040|0.307|0.001|40.475172|-93.927495
MO|2906832|1600000US2906832|02394213|Bogard city|25|A|1413243|0|0.546|0.|39.457927|-93.523861
MO|2906922|1600000US2906922|02394215|Bolckow city|25|A|841590|0|0.325|0.|40.115217|-94.821207
MO|2906976|1600000US2906976|02394216|Bolivar city|25|A|21310499|46519|8.228|0.018|37.606697|-93.416709
MO|2907102|1600000US2907102|02394219|Bonne Terre city|25|A|10540822|89648|4.07|0.035|37.921102|-90.54268
MO|2907318|1600000US2907318|02394222|Boonville city|25|A|21435899|905015|8.276|0.349|38.961439|-92.746203
MO|2907426|1600000US2907426|02394224|Bosworth city|25|A|1433985|0|0.554|0.|39.469909|-93.335558
MO|2907534|1600000US2907534|02394225|Bourbon city|25|A|3463066|0|1.337|0.|38.15058|-91.249279
MO|2907660|1600000US2907660|02394228|Bowling Green city|25|A|6965142|37373|2.689|0.014|39.344774|-91.202488
MO|2907876|1600000US2907876|02396600|Bragg City town|43|A|529263|0|0.204|0.|36.268134|-89.911302
MO|2907948|1600000US2907948|02394241|Brandsville city|25|A|1353143|0|0.522|0.|36.65074|-91.696457
MO|2907966|1600000US2907966|02394242|Branson city|25|A|55278935|325397|21.343|0.126|36.612287|-93.291812
MO|2907989|1600000US2907989|02394243|Branson West city|25|A|12222736|0|4.719|0.|36.688622|-93.39309
MO|2908002|1600000US2908002|02393401|Brashear city|25|A|907223|0|0.35|0.|40.148339|-92.378842
MO|2908038|1600000US2908038|02393402|Braymer city|25|A|1531007|2346|0.591|0.001|39.590235|-93.795891
MO|2908128|1600000US2908128|02393406|Breckenridge city|25|A|1423159|3295|0.549|0.001|39.761452|-93.805152
MO|2908164|1600000US2908164|02393407|Breckenridge Hills city|25|A|2074194|0|0.801|0.|38.715769|-90.368438
MO|2908236|1600000US2908236|02393411|Brentwood city|25|A|5058742|0|1.953|0.|38.619423|-90.347528
MO|2908272|1600000US2908272|02587056|Brewer CDP|57|S|6059208|0|2.339|0.|37.783578|-89.917995
MO|2908294|1600000US2908294|02806406|Briarwood Estates CDP|57|S|1762204|329791|0.68|0.127|38.156103|-90.586594
MO|2908398|1600000US2908398|02393417|Bridgeton city|25|A|37691259|1798705|14.553|0.694|38.773317|-90.416997
MO|2908470|1600000US2908470|02397456|Brimson village|47|A|225333|0|0.087|0.|40.144945|-93.738397
MO|2908614|1600000US2908614|02393422|Bronaugh city|25|A|738511|7841|0.285|0.003|37.693669|-94.468611
MO|2908650|1600000US2908650|02393426|Brookfield city|25|A|11264236|40636|4.349|0.016|39.785329|-93.077967
MO|2908776|1600000US2908776|02396606|Brooklyn Heights town|43|A|296660|0|0.115|0.|37.169412|-94.385535
MO|2908812|1600000US2908812|02806385|Broseley CDP|57|S|1341958|0|0.518|0.|36.675396|-90.24412
MO|2908884|1600000US2908884|02393438|Browning city|25|A|1354603|4333|0.523|0.002|40.034946|-93.160347
MO|2908902|1600000US2908902|02396610|Brownington town|43|A|313961|622|0.121|0.|38.244418|-93.722721
MO|2908974|1600000US2908974|02396614|Brumley town|43|A|1172027|0|0.453|0.|38.088523|-92.484333
MO|2909046|1600000US2909046|02393445|Brunswick city|25|A|3114472|127426|1.203|0.049|39.427184|-93.127184
MO|2909388|1600000US2909388|02393448|Bucklin city|25|A|3060511|625|1.182|0.|39.784024|-92.888132
MO|2909424|1600000US2909424|02393451|Buckner city|25|A|4624600|7094|1.786|0.003|39.132481|-94.196811
MO|2909496|1600000US2909496|02804676|Buell CDP|57|S|228318|1896|0.088|0.001|39.03241|-91.440732
MO|2909514|1600000US2909514|02393455|Buffalo city|25|A|7776551|2226|3.003|0.001|37.64519|-93.096564
MO|2909642|1600000US2909642|02397491|Bull Creek village|47|A|431845|0|0.167|0.|36.715166|-93.201927
MO|2909658|1600000US2909658|02393461|Bunceton city|25|A|2445618|9226|0.944|0.004|38.789683|-92.798688
MO|2909694|1600000US2909694|02393462|Bunker city|25|A|1716867|1016|0.663|0.|37.457594|-91.211643
MO|2909784|1600000US2909784|02806386|Burfordville CDP|57|S|868920|0|0.335|0.|37.367711|-89.809776
MO|2909802|1600000US2909802|02787934|Burgess CDP|57|S|287928|214|0.111|0.|37.556935|-94.615528
MO|2909838|1600000US2909838|02393470|Burlington Junction city|25|A|2588805|0|1.|0.|40.446557|-95.066716
