cms_certification_number_ccn,facility_name,address_line_1,address_line_2,citytown,state,zip_code,countyparish,telephone_number,cms_region,measure_code,measure_name,score,footnote,measure_date_range
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_001_01_DENOMINATOR,,561,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_001_01_OBSERVED,Hospice and Palliative Care Treatment Preferences,100,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_002_01_DENOMINATOR,,561,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_002_01_OBSERVED,Beliefs & Values Addressed (if desired by the patient),99.6,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_003_01_DENOMINATOR,,561,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_003_01_OBSERVED,Hospice and Palliative Care Pain Screening,100,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_004_01_DENOMINATOR,,351,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_004_01_OBSERVED,Hospice and Palliative Care Pain Assessment,100,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_005_01_DENOMINATOR,,561,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_005_01_OBSERVED,Hospice and Palliative Care Dyspnea Screening,100,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_006_01_DENOMINATOR,,320,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_006_01_OBSERVED,Hospice and Palliative Care Dyspnea Treatment,99.4,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_007_01_DENOMINATOR,,110,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_007_01_OBSERVED,Patient Treated with an Opioid Who Are Given a Bowel Regimen,99.1,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_008_01_DENOMINATOR,,561,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_008_01_OBSERVED,Hospice and Palliative Care Composite Process Measure,99.1,,07/01/2024-06/30/2025
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_011_01_DENOMINATOR,Hospice Visits in the Last Days of Life,553,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_011_01_OBSERVED,Hospice Visits in the Last Days of Life,67.6,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_00_OBSERVED,Hospice Care Index Overall Score,10,,01/01/2023-12/31/2024
261500,HOSPICE COMPASSUS-SOUTHWEST MISSOURI ,"1341 W BATTLEFIELD STREET, SUITE 120",,SPRINGFIELD,MO,65807,Greene,(417) 882-0453,7,H_012_01_DENOMINATOR,CHC/GIP provided (% days),"92,392",,01/01/2023-12/31/2024
