facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote,start_date,end_date
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,154,15,1.7,31.3,150,43,,07/01/2021,06/30/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,334,23.6,11.4,37.5,281,98,,07/01/2021,06/30/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,484,-2.8,-11.3,7.1,430,121,,07/01/2021,06/30/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,1988,15.3,14.3,16.5,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,1362,16.3,12.8,20.7,Not Applicable,Not Applicable,,01/01/2022,12/31/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,160,10.3,7.8,13.5,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,160,6.1,4.3,8.7,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,372,1,0.7,1.3,Not Applicable,Not Applicable,,01/01/2024,12/31/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,154,14,11.4,17.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
260001,MERCY HOSPITAL JOPLIN,100 MERCY WAY,JOPLIN,MO,64804,JASPER,(417) 781-2727,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,61,12,8.7,16.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
